iter	Passed	Remaining
737	16621	17162
738	16643	17139
739	16666	17117
740	16690	17095
741	16714	17074
742	16735	17050
743	16757	17027
744	16779	17005
745	16802	16982
746	16826	16961
747	16847	16937
748	16868	16913
749	16891	16891
750	16913	16868
751	16934	16844
752	16956	16821
753	16979	16799
754	17000	16775
755	17022	16752
756	17044	16729
757	17068	16707
758	17090	16685
759	17112	16662
760	17134	16638
761	17158	16617
762	17181	16596
763	17202	16572
764	17225	16550
765	17246	16526
766	17269	16503
767	17290	16479
768	17311	16456
769	17334	16434
770	17355	16410
771	17375	16385
772	17396	16361
773	17419	16339
774	17440	16315
775	17463	16293
776	17484	16269
777	17505	16245
778	17526	16221
779	17547	16198
780	17570	16175
781	17593	16153
782	17616	16131
783	17637	16107
784	17662	16087
785	17686	16066
786	17708	16043
787	17729	16019
788	17751	15996
789	17772	15972
790	17793	15949
791	17816	15926
792	17837	15903
793	17859	15879
794	17880	15856
795	17904	15835
796	17927	15813
797	17950	15791
798	17972	15767
799	17993	15744
800	18014	15720
801	18037	15698
802	18058	15674
803	18081	15652
804	18104	15630
805	18125	15606
806	18150	15586
807	18170	15562
808	18194	15540
809	18214	15516
810	18238	15494
811	18262	15473
812	18284	15450
813	18307	15428
814	18330	15406
815	18350	15381
816	18373	15359
817	18396	15337
818	18417	15314
819	18439	15291
820	18460	15267
821	18483	15245
822	18505	15222
823	18527	15200
824	18550	15177
825	18571	15154
826	18596	15133
827	18618	15110
828	18642	15089
829	18666	15068
830	18691	15047
831	18713	15024
832	18735	15002
833	18758	14980
834	18778	14955
835	18801	14933
836	18825	14912
837	18847	14888
838	18867	14864
839	18889	14841
840	18911	14818
841	18933	14796
842	18955	14773
843	18977	14750
844	18998	14726
845	19017	14701
846	19040	14679
847	19061	14656
848	19082	14632
849	19107	14611
850	19128	14588
851	19150	14564
852	19172	14542
853	19194	14519
854	19212	14493
855	19232	14469
856	19254	14446
857	19276	14423
858	19297	14400
859	19318	14376
860	19339	14352
861	19359	14328
862	19381	14305
863	19403	14283
864	19426	14260
865	19447	14237
866	19471	14216
867	19493	14193
868	19515	14170
869	19537	14147
870	19558	14124
871	19580	14101
872	19603	14079
873	19624	14056
874	19648	14034
875	19669	14011
876	19692	13989
877	19714	13966
878	19735	13942
879	19757	13920
880	19779	13897
881	19800	13874
882	19823	13851
883	19843	13827
884	19867	13806
885	19889	13783
886	19911	13760
887	19935	13739
888	19958	13717
889	19979	13693
890	20000	13670
891	20022	13647
892	20044	13624
893	20065	13601
894	20086	13578
895	20108	13554
896	20130	13532
897	20151	13509
898	20172	13486
899	20194	13463
900	20213	13438
901	20234	13414
902	20255	13391
903	20280	13370
904	20303	13348
905	20324	13325
906	20341	13299
907	20364	13276
908	20384	13253
909	20407	13231
910	20428	13207
911	20448	13184
912	20469	13160
913	20492	13138
914	20514	13115
915	20538	13094
916	20560	13071
917	20582	13049
918	20603	13025
919	20628	13004
920	20650	12982
921	20671	12959
922	20694	12937
923	20716	12914
924	20739	12891
925	20760	12868
926	20783	12846
927	20806	12824
928	20827	12801
929	20849	12778
930	20869	12755
931	20896	12735
932	20919	12712
933	20942	12691
934	20963	12667
935	20984	12644
936	21003	12620
937	21021	12594
938	21042	12571
939	21059	12546
940	21082	12524
941	21106	12502
942	21130	12480
943	21152	12458
944	21174	12435
945	21198	12414
946	21215	12388
947	21238	12366
948	21261	12344
949	21281	12320
950	21304	12299
951	21327	12276
952	21349	12254
953	21372	12232
954	21395	12210
955	21418	12188
956	21442	12166
957	21463	12143
958	21485	12120
959	21508	12098
960	21530	12076
961	21552	12053
962	21574	12030
963	21597	12008
964	21620	11986
965	21643	11964
966	21668	11943
967	21689	11920
968	21710	11897
969	21732	11874
970	21755	11852
971	21776	11829
972	21797	11806
973	21820	11783
974	21843	11761
975	21864	11738
976	21885	11715
977	21906	11692
978	21928	11669
979	21951	11647
980	21973	11625
981	21993	11601
982	22017	11579
983	22036	11555
984	22059	11533
985	22080	11510
986	22098	11485
987	22121	11463
988	22142	11440
989	22163	11417
990	22186	11395
991	22206	11372
992	22229	11349
993	22251	11327
994	22273	11304
995	22295	11281
996	22316	11258
997	22338	11236
998	22359	11213
999	22380	11190
1000	22402	11167
1001	22422	11144
1002	22444	11121
1003	22465	11098
1004	22486	11075
1005	22509	11053
1006	22531	11030
1007	22553	11008
1008	22573	10984
1009	22596	10962
1010	22620	10940
1011	22641	10918
1012	22662	10895
1013	22684	10872
1014	22708	10850
1015	22729	10827
1016	22751	10805
1017	22774	10783
1018	22798	10761
1019	22828	10742
1020	22855	10722
1021	22881	10702
1022	22904	10679
1023	22927	10657
1024	22950	10635
1025	22970	10612
1026	22991	10589
1027	23012	10566
1028	23034	10543
1029	23053	10519
1030	23076	10497
1031	23097	10474
1032	23119	10452
1033	23142	10429
1034	23163	10406
1035	23186	10384
1036	23207	10361
1037	23232	10340
1038	23254	10318
1039	23277	10295
1040	23298	10272
1041	23322	10251
1042	23344	10228
1043	23366	10206
1044	23386	10182
1045	23408	10159
1046	23428	10136
1047	23450	10114
1048	23473	10091
1049	23494	10068
1050	23516	10046
1051	23533	10021
1052	23552	9998
1053	23573	9975
1054	23593	9951
